transaction_id,customer_id,transaction_date,product_id,category,subcategory,color,material,unit_price,discount,final_unit_price,quantity,total_amount
T0000036,CUST_00003,2025-09-04,P00365,Traditional Wear,Lehenga,Burgundy,Cashmere Blend,87.01,10.0,78.31,1,78.31
T0000037,CUST_00003,2025-09-26,P00361,Traditional Wear,Sherwani,White,French Terry,84.24,0.0,84.24,2,168.48
T0000038,CUST_00003,2025-10-28,P00349,Traditional Wear,Kurta,White,Poly-Spandex,55.2,10.0,49.68,1,49.68
T0000039,CUST_00003,2025-11-14,P00353,Traditional Wear,Kurti,Burgundy,Corduroy,75.45,5.0,71.68,2,143.36
T0000040,CUST_00003,2025-11-21,P00351,Traditional Wear,Kurta,Burgundy,Cashmere Blend,104.29,25.0,78.22,1,78.22
T0000041,CUST_00003,2026-02-05,P00263,Jackets & Outerwear,Parka,White,Linen,133.14,5.0,126.48,1,126.48
T0000042,CUST_00003,2026-02-09,P00047,T-Shirts,Henley T-Shirt,White,French Terry,59.91,5.0,56.91,2,113.82
T0000043,CUST_00003,2026-03-06,P00135,Shorts,Running Shorts,Burgundy,Poly-Spandex,36.31,5.0,34.49,1,34.49
T0000044,CUST_00003,2026-03-15,P00121,Shorts,Denim Shorts,White,French Terry,39.62,0.0,39.62,1,39.62
T0000045,CUST_00003,2026-05-15,P00134,Shorts,Running Shorts,Charcoal,French Terry,50.19,0.0,50.19,2,100.38
T0000046,CUST_00003,2026-06-18,P00134,Shorts,Running Shorts,Charcoal,French Terry,50.19,10.0,45.17,1,45.17
T0000047,CUST_00003,2026-07-15,P00132,Shorts,Chino Shorts,Charcoal,Corduroy,36.41,10.0,32.77,1,32.77
T0000048,CUST_00003,2026-07-15,P00128,Shorts,Cargo Shorts,Heather Grey,Poly-Spandex,39.37,5.0,37.4,1,37.4
T0000049,CUST_00003,2026-07-19,P00127,Shorts,Cargo Shorts,Olive Green,French Terry,88.18,5.0,83.77,2,167.54
T0000050,CUST_00003,2026-08-07,P00135,Shorts,Running Shorts,Burgundy,Poly-Spandex,36.31,0.0,36.31,1,36.31
T0000051,CUST_00004,2025-02-03,P00311,Loungewear,Sweatpants,White,Cashmere Blend,67.97,10.0,61.17,1,61.17
T0000052,CUST_00004,2025-04-26,P00321,Loungewear,Lounge T-Shirt,Olive Green,French Terry,64.33,5.0,61.11,1,61.11
T0000053,CUST_00004,2025-05-13,P00317,Loungewear,Lounge Shorts,Burgundy,Linen,52.95,5.0,50.3,2,100.6
T0000054,CUST_00004,2025-06-01,P00213,Hoodies & Sweatshirts,Zip-Up Hoodie,Olive Green,Corduroy,87.54,5.0,83.16,1,83.16
T0000055,CUST_00004,2025-08-21,P00328,Loungewear,Pajama Set,Terracotta,Poly-Spandex,47.93,15.0,40.74,1,40.74
T0000056,CUST_00004,2025-08-24,P00146,Dresses & Skirts,Midi Skirt,Charcoal,Corduroy,76.23,10.0,68.61,1,68.61
T0000057,CUST_00004,2025-09-09,P00311,Loungewear,Sweatpants,White,Cashmere Blend,67.97,15.0,57.77,2,115.54
T0000058,CUST_00004,2025-09-16,P00314,Loungewear,Lounge Pants,Charcoal,French Terry,55.43,15.0,47.12,2,94.24
T0000059,CUST_00004,2025-09-28,P00311,Loungewear,Sweatpants,White,Cashmere Blend,67.97,0.0,67.97,1,67.97
T0000060,CUST_00004,2025-11-16,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,5.0,29.74,1,29.74
T0000061,CUST_00004,2025-11-30,P00190,Sweaters & Knitwear,Crewneck Sweater,Heather Grey,Linen,140.82,10.0,126.74,1,126.74
T0000062,CUST_00004,2025-12-02,P00320,Loungewear,Lounge Shorts,Heather Grey,French Terry,35.12,25.0,26.34,1,26.34
T0000063,CUST_00004,2026-03-21,P00318,Loungewear,Lounge Shorts,Terracotta,Cashmere Blend,38.97,0.0,38.97,1,38.97
T0000064,CUST_00004,2026-03-31,P00316,Loungewear,Lounge Pants,Terracotta,Linen,47.27,5.0,44.91,1,44.91
T0000065,CUST_00004,2026-04-17,P00326,Loungewear,Pajama Set,Charcoal,Corduroy,64.53,0.0,64.53,2,129.06
T0000066,CUST_00004,2026-05-07,P00275,Blazers & Suits,Two-Piece Suit,White,Poly-Spandex,226.8,10.0,204.12,1,204.12
T0000067,CUST_00004,2026-05-22,P00314,Loungewear,Lounge Pants,Charcoal,French Terry,55.43,10.0,49.89,3,149.67
T0000068,CUST_00004,2026-05-26,P00251,Jackets & Outerwear,Utility Jacket,White,Cashmere Blend,103.94,10.0,93.55,1,93.55
T0000069,CUST_00004,2026-06-17,P00309,Loungewear,Sweatpants,Olive Green,Poly-Spandex,59.75,5.0,56.76,1,56.76
T0000070,CUST_00004,2026-07-16,P00322,Loungewear,Lounge T-Shirt,Heather Grey,Poly-Spandex,45.66,20.0,36.53,1,36.53
T0000071,CUST_00005,2025-01-28,P00318,Loungewear,Lounge Shorts,Terracotta,Cashmere Blend,38.97,15.0,33.12,1,33.12
T0000072,CUST_00005,2025-02-25,P00314,Loungewear,Lounge Pants,Charcoal,French Terry,55.43,0.0,55.43,1,55.43
T0000073,CUST_00005,2025-03-05,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,0.0,31.31,1,31.31
T0000074,CUST_00005,2025-04-26,P00309,Loungewear,Sweatpants,Olive Green,Poly-Spandex,59.75,10.0,53.77,1,53.77
T0000075,CUST_00005,2025-05-12,P00251,Jackets & Outerwear,Utility Jacket,White,Cashmere Blend,103.94,10.0,93.55,1,93.55
T0000076,CUST_00005,2025-06-10,P00325,Loungewear,Pajama Set,White,Cashmere Blend,86.9,25.0,65.18,1,65.18
T0000077,CUST_00005,2025-07-29,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,15.0,26.61,1,26.61
T0000078,CUST_00005,2025-08-13,P00315,Loungewear,Lounge Pants,Burgundy,Poly-Spandex,64.78,10.0,58.3,3,174.9
T0000079,CUST_00005,2025-10-13,P00328,Loungewear,Pajama Set,Terracotta,Poly-Spandex,47.93,0.0,47.93,1,47.93
T0000080,CUST_00005,2026-01-15,P00316,Loungewear,Lounge Pants,Terracotta,Linen,47.27,15.0,40.18,1,40.18
T0000081,CUST_00005,2026-02-16,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,0.0,31.31,1,31.31
T0000082,CUST_00005,2026-04-21,P00312,Loungewear,Sweatpants,Charcoal,Corduroy,57.96,0.0,57.96,1,57.96
T0000083,CUST_00005,2026-06-05,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,10.0,28.18,1,28.18
T0000084,CUST_00005,2026-07-26,P00314,Loungewear,Lounge Pants,Charcoal,French Terry,55.43,10.0,49.89,2,99.78
T0000085,CUST_00006,2025-01-25,P00062,Tops,Blouse,Charcoal,Poly-Spandex,48.19,10.0,43.37,1,43.37
T0000086,CUST_00006,2025-04-27,P00067,Tops,Crop Top,Olive Green,French Terry,47.63,5.0,45.25,1,45.25
T0000087,CUST_00006,2025-05-24,P00208,Sweaters & Knitwear,Cable-Knit Sweater,Terracotta,Poly-Spandex,60.55,0.0,60.55,1,60.55
T0000088,CUST_00006,2025-06-04,P00063,Tops,Blouse,Burgundy,Linen,55.04,0.0,55.04,1,55.04
T0000089,CUST_00006,2025-06-22,P00063,Tops,Blouse,Burgundy,Linen,55.04,10.0,49.54,1,49.54
T0000090,CUST_00006,2025-07-05,P00079,Tops,Wrap Top,Olive Green,Corduroy,63.45,25.0,47.59,2,95.18
T0000091,CUST_00006,2025-10-13,P00138,Shorts,Bermuda Shorts,Terracotta,Cashmere Blend,69.67,0.0,69.67,1,69.67
T0000092,CUST_00006,2026-03-14,P00212,Hoodies & Sweatshirts,Pullover Hoodie,Heather Grey,Corduroy,58.15,0.0,58.15,1,58.15
T0000093,CUST_00006,2026-04-14,P00064,Tops,Blouse,Terracotta,Cashmere Blend,66.76,10.0,60.08,1,60.08
T0000094,CUST_00006,2026-04-15,P00084,Tops,Halter Top,Charcoal,Cashmere Blend,50.03,0.0,50.03,1,50.03
T0000095,CUST_00007,2025-02-13,P00266,Blazers & Suits,Tailored Blazer,Charcoal,Corduroy,185.87,10.0,167.28,1,167.28
T0000096,CUST_00007,2025-04-18,P00298,Activewear,Track Pants,Heather Grey,Cashmere Blend,52.84,25.0,39.63,1,39.63
T0000097,CUST_00007,2025-06-30,P00265,Blazers & Suits,Tailored Blazer,White,Cashmere Blend,158.93,20.0,127.14,2,254.28
T0000098,CUST_00007,2025-07-31,P00318,Loungewear,Lounge Shorts,Terracotta,Cashmere Blend,38.97,20.0,31.18,1,31.18
T0000099,CUST_00007,2025-08-01,P00266,Blazers & Suits,Tailored Blazer,Charcoal,Corduroy,185.87,5.0,176.58,1,176.58
T0000100,CUST_00007,2025-08-15,P00376,Traditional Wear,Nehru Jacket,Terracotta,Linen,182.8,0.0,182.8,2,365.6
T0000101,CUST_00007,2025-08-20,P00354,Traditional Wear,Kurti,Terracotta,French Terry,111.0,0.0,111.0,1,111.0
T0000102,CUST_00007,2025-10-02,P00371,Traditional Wear,Dhoti,White,Cashmere Blend,90.43,10.0,81.39,1,81.39
T0000103,CUST_00007,2025-10-23,P00365,Traditional Wear,Lehenga,Burgundy,Cashmere Blend,87.01,10.0,78.31,1,78.31
T0000104,CUST_00007,2025-12-12,P00354,Traditional Wear,Kurti,Terracotta,French Terry,111.0,10.0,99.9,1,99.9
T0000105,CUST_00007,2026-01-04,P00350,Traditional Wear,Kurta,Charcoal,Linen,138.93,0.0,138.93,1,138.93
T0000106,CUST_00007,2026-01-23,P00268,Blazers & Suits,Tailored Blazer,Terracotta,Poly-Spandex,150.7,20.0,120.56,1,120.56
T0000107,CUST_00007,2026-01-27,P00276,Blazers & Suits,Two-Piece Suit,Charcoal,Linen,158.74,5.0,150.8,1,150.8
T0000108,CUST_00007,2026-02-20,P00266,Blazers & Suits,Tailored Blazer,Charcoal,Corduroy,185.87,20.0,148.7,1,148.7
T0000109,CUST_00007,2026-03-29,P00272,Blazers & Suits,Suit Jacket,Heather Grey,Corduroy,158.46,10.0,142.61,1,142.61
T0000110,CUST_00007,2026-04-09,P00272,Blazers & Suits,Suit Jacket,Heather Grey,Corduroy,158.46,10.0,142.61,2,285.22
T0000111,CUST_00007,2026-04-16,P00053,T-Shirts,Graphic T-Shirt,Burgundy,Corduroy,28.63,10.0,25.77,1,25.77
T0000112,CUST_00007,2026-05-25,P00124,Shorts,Denim Shorts,Terracotta,Cashmere Blend,82.46,20.0,65.97,2,131.94
T0000113,CUST_00007,2026-06-22,P00298,Activewear,Track Pants,Heather Grey,Cashmere Blend,52.84,5.0,50.2,2,100.4
T0000114,CUST_00007,2026-07-13,P00268,Blazers & Suits,Tailored Blazer,Terracotta,Poly-Spandex,150.7,20.0,120.56,2,241.12
T0000115,CUST_00007,2026-07-19,P00001,Shirts,Formal Shirt,White,French Terry,69.82,20.0,55.86,1,55.86
T0000116,CUST_00007,2026-07-21,P00057,T-Shirts,Striped T-Shirt,Olive Green,Linen,39.71,10.0,35.74,2,71.48
T0000117,CUST_00008,2025-01-23,P00205,Sweaters & Knitwear,Cable-Knit Sweater,White,Cashmere Blend,48.11,15.0,40.89,1,40.89
T0000118,CUST_00008,2025-02-02,P00219,Hoodies & Sweatshirts,Crewneck Sweatshirt,Burgundy,Corduroy,82.22,15.0,69.89,2,139.78
T0000119,CUST_00008,2025-02-25,P00198,Sweaters & Knitwear,Turtleneck,Terracotta,Cashmere Blend,81.58,10.0,73.42,3,220.26
T0000120,CUST_00008,2025-03-12,P00201,Sweaters & Knitwear,Cardigan,Olive Green,French Terry,99.99,0.0,99.99,1,99.99
T0000121,CUST_00008,2025-03-21,P00264,Jackets & Outerwear,Parka,Charcoal,Cashmere Blend,104.52,10.0,94.07,1,94.07
T0000122,CUST_00008,2025-04-28,P00203,Sweaters & Knitwear,Cardigan,White,Linen,95.01,20.0,76.01,1,76.01
T0000123,CUST_00008,2025-05-18,P00199,Sweaters & Knitwear,Turtleneck,Olive Green,Corduroy,93.62,5.0,88.94,1,88.94
T0000124,CUST_00008,2025-06-07,P00227,Hoodies & Sweatshirts,Fleece Sweatshirt,White,French Terry,179.33,10.0,161.4,1,161.4
T0000125,CUST_00008,2025-07-17,P00195,Sweaters & Knitwear,V-Neck Sweater,Burgundy,Poly-Spandex,62.04,0.0,62.04,1,62.04
T0000126,CUST_00008,2025-07-20,P00203,Sweaters & Knitwear,Cardigan,White,Linen,95.01,5.0,90.26,1,90.26
T0000127,CUST_00008,2025-07-22,P00196,Sweaters & Knitwear,V-Neck Sweater,Terracotta,Linen,67.83,0.0,67.83,2,135.66
T0000128,CUST_00008,2025-10-11,P00193,Sweaters & Knitwear,V-Neck Sweater,White,Corduroy,79.67,20.0,63.74,1,63.74
T0000129,CUST_00008,2025-10-20,P00205,Sweaters & Knitwear,Cable-Knit Sweater,White,Cashmere Blend,48.11,25.0,36.08,1,36.08
T0000130,CUST_00008,2025-11-06,P00208,Sweaters & Knitwear,Cable-Knit Sweater,Terracotta,Poly-Spandex,60.55,15.0,51.47,1,51.47
T0000131,CUST_00008,2025-11-27,P00129,Shorts,Chino Shorts,Olive Green,Poly-Spandex,47.27,10.0,42.54,2,85.08
T0000132,CUST_00008,2026-01-28,P00203,Sweaters & Knitwear,Cardigan,White,Linen,95.01,10.0,85.51,1,85.51
T0000133,CUST_00008,2026-05-26,P00276,Blazers & Suits,Two-Piece Suit,Charcoal,Linen,158.74,10.0,142.87,1,142.87
T0000134,CUST_00008,2026-06-15,P00327,Loungewear,Pajama Set,Burgundy,French Terry,31.31,0.0,31.31,1,31.31
T0000135,CUST_00008,2026-07-12,P00196,Sweaters & Knitwear,V-Neck Sweater,Terracotta,Linen,67.83,5.0,64.44,3,193.32
T0000136,CUST_00008,2026-07-16,P00201,Sweaters & Knitwear,Cardigan,Olive Green,French Terry,99.99,5.0,94.99,1,94.99
T0000137,CUST_00008,2026-07-17,P00267,Blazers & Suits,Tailored Blazer,Burgundy,French Terry,149.43,0.0,149.43,1,149.43
T0000138,CUST_00008,2026-08-12,P00125,Shorts,Cargo Shorts,Burgundy,Cashmere Blend,68.9,10.0,62.01,1,62.01
T0000139,CUST_00009,2025-02-15,P00149,Dresses & Skirts,Maxi Skirt,Burgundy,Poly-Spandex,114.23,0.0,114.23,1,114.23
T0000140,CUST_00009,2025-03-02,P00241,Jackets & Outerwear,Puffer Jacket,White,French Terry,90.05,0.0,90.05,2,180.1
T0000141,CUST_00009,2025-03-16,P00157,Dresses & Skirts,Pleated Skirt,White,Linen,85.69,20.0,68.55,1,68.55
T0000142,CUST_00009,2025-03-26,P00144,Dresses & Skirts,Mini Skirt,Charcoal,Cashmere Blend,94.85,15.0,80.62,1,80.62
T0000143,CUST_00009,2025-04-13,P00165,Dresses & Skirts,Tennis Skirt,Olive Green,Cashmere Blend,113.2,0.0,113.2,1,113.2
T0000144,CUST_00009,2025-05-06,P00145,Dresses & Skirts,Midi Skirt,White,Cashmere Blend,69.73,0.0,69.73,1,69.73
T0000145,CUST_00009,2025-05-19,P00160,Dresses & Skirts,Pleated Skirt,Terracotta,French Terry,59.51,0.0,59.51,1,59.51
T0000146,CUST_00009,2025-10-01,P00354,Traditional Wear,Kurti,Terracotta,French Terry,111.0,5.0,105.45,1,105.45
T0000147,CUST_00009,2025-11-15,P00376,Traditional Wear,Nehru Jacket,Terracotta,Linen,182.8,10.0,164.52,1,164.52
T0000148,CUST_00009,2025-12-07,P00352,Traditional Wear,Kurta,Terracotta,Corduroy,117.22,10.0,105.5,1,105.5
T0000149,CUST_00009,2025-12-08,P00362,Traditional Wear,Sherwani,Charcoal,Poly-Spandex,102.37,20.0,81.9,1,81.9
T0000150,CUST_00009,2026-01-19,P00358,Traditional Wear,Salwar Suit,Heather Grey,Cashmere Blend,93.81,10.0,84.43,1,84.43
T0000151,CUST_00009,2026-04-03,P00353,Traditional Wear,Kurti,Burgundy,Corduroy,75.45,0.0,75.45,1,75.45
T0000152,CUST_00009,2026-04-29,P00357,Traditional Wear,Salwar Suit,Olive Green,Linen,92.84,10.0,83.56,1,83.56
T0000153,CUST_00009,2026-06-11,P00362,Traditional Wear,Sherwani,Charcoal,Poly-Spandex,102.37,0.0,102.37,2,204.74
T0000154,CUST_00009,2026-07-10,P00357,Traditional Wear,Salwar Suit,Olive Green,Linen,92.84,10.0,83.56,2,167.12
T0000155,CUST_00010,2025-04-27,P00273,Blazers & Suits,Two-Piece Suit,Olive Green,Corduroy,134.96,10.0,121.46,1,121.46
T0000156,CUST_00010,2025-05-07,P00274,Blazers & Suits,Two-Piece Suit,Heather Grey,French Terry,255.4,0.0,255.4,3,766.2
T0000157,CUST_00010,2025-05-18,P00266,Blazers & Suits,Tailored Blazer,Charcoal,Corduroy,185.87,10.0,167.28,1,167.28
T0000158,CUST_00010,2025-05-23,P00268,Blazers & Suits,Tailored Blazer,Terracotta,Poly-Spandex,150.7,20.0,120.56,1,120.56
T0000159,CUST_00010,2025-05-29,P00274,Blazers & Suits,Two-Piece Suit,Heather Grey,French Terry,255.4,5.0,242.63,1,242.63
T0000160,CUST_00010,2025-06-05,P00273,Blazers & Suits,Two-Piece Suit,Olive Green,Corduroy,134.96,10.0,121.46,2,242.92
T0000161,CUST_00010,2025-07-01,P00273,Blazers & Suits,Two-Piece Suit,Olive Green,Corduroy,134.96,5.0,128.21,2,256.42
T0000162,CUST_00010,2025-07-07,P00269,Blazers & Suits,Suit Jacket,Burgundy,Poly-Spandex,139.56,15.0,118.63,1,118.63
T0000163,CUST_00010,2025-07-23,P00268,Blazers & Suits,Tailored Blazer,Terracotta,Poly-Spandex,150.7,20.0,120.56,1,120.56
T0000164,CUST_00010,2025-08-20,P00072,Tops,Tank Top,Charcoal,Corduroy,38.1,0.0,38.1,1,38.1
T0000165,CUST_00010,2025-11-23,P00273,Blazers & Suits,Two-Piece Suit,Olive Green,Corduroy,134.96,0.0,134.96,1,134.96
T0000166,CUST_00010,2025-12-03,P00068,Tops,Crop Top,Heather Grey,Poly-Spandex,47.2,0.0,47.2,1,47.2
T0000167,CUST_00010,2026-01-09,P00265,Blazers & Suits,Tailored Blazer,White,Cashmere Blend,158.93,10.0,143.04,1,143.04
T0000168,CUST_00010,2026-02-07,P00318,Loungewear,Lounge Shorts,Terracotta,Cashmere Blend,38.97,10.0,35.07,3,105.21
T0000169,CUST_00010,2026-03-25,P00267,Blazers & Suits,Tailored Blazer,Burgundy,French Terry,149.43,0.0,149.43,1,149.43
T0000170,CUST_00010,2026-05-30,P00148,Dresses & Skirts,Midi Skirt,Terracotta,Poly-Spandex,81.36,15.0,69.16,1,69.16
T0000171,CUST_00010,2026-07-30,P00268,Blazers & Suits,Tailored Blazer,Terracotta,Poly-Spandex,150.7,20.0,120.56,1,120.56
T0000172,CUST_00011,2025-01-13,P00115,Pants & Jeans,Jogger Pants,Olive Green,Poly-Spandex,75.64,10.0,68.08,2,136.16
T0000173,CUST_00011,2025-03-23,P00154,Dresses & Skirts,A-Line Skirt,Heather Grey,French Terry,70.75,10.0,63.68,2,127.36
T0000174,CUST_00011,2025-03-30,P00120,Pants & Jeans,Linen Trousers,Charcoal,French Terry,71.36,0.0,71.36,1,71.36
T0000175,CUST_00011,2025-04-03,P00184,Dresses & Skirts,Party Dress,Terracotta,Cashmere Blend,122.74,20.0,98.19,1,98.19
T0000176,CUST_00011,2025-04-07,P00112,Pants & Jeans,Formal Trousers,Terracotta,Corduroy,81.82,5.0,77.73,1,77.73
T0000177,CUST_00011,2025-05-01,P00094,Pants & Jeans,Wide Leg Jeans,Heather Grey,French Terry,74.35,0.0,74.35,1,74.35
T0000178,CUST_00011,2025-05-17,P00017,Shirts,Flannel Shirt,Burgundy,Linen,76.03,0.0,76.03,1,76.03
T0000179,CUST_00011,2025-06-08,P00020,Shirts,Flannel Shirt,Heather Grey,French Terry,66.88,10.0,60.19,2,120.38
T0000180,CUST_00011,2025-09-02,P00093,Pants & Jeans,Wide Leg Jeans,Olive Green,Corduroy,65.48,20.0,52.38,2,104.76
T0000181,CUST_00011,2025-09-15,P00120,Pants & Jeans,Linen Trousers,Charcoal,French Terry,71.36,20.0,57.09,3,171.27
T0000182,CUST_00011,2025-11-17,P00089,Pants & Jeans,Straight Leg Jeans,Burgundy,Poly-Spandex,86.53,5.0,82.2,1,82.2
T0000183,CUST_00011,2026-01-23,P00113,Pants & Jeans,Jogger Pants,Burgundy,Corduroy,65.41,15.0,55.6,3,166.8
T0000184,CUST_00011,2026-02-17,P00089,Pants & Jeans,Straight Leg Jeans,Burgundy,Poly-Spandex,86.53,15.0,73.55,1,73.55
T0000185,CUST_00011,2026-04-22,P00248,Jackets & Outerwear,Trucker Jacket,Heather Grey,Poly-Spandex,211.89,10.0,190.7,1,190.7
T0000186,CUST_00011,2026-07-16,P00097,Pants & Jeans,Bootcut Jeans,White,Linen,50.52,0.0,50.52,1,50.52
T0000187,CUST_00012,2025-02-09,P00372,Traditional Wear,Dhoti,Charcoal,Corduroy,132.55,10.0,119.3,1,119.3
T0000188,CUST_00012,2025-03-06,P00352,Traditional Wear,Kurta,Terracotta,Corduroy,117.22,0.0,117.22,1,117.22
T0000189,CUST_00012,2025-03-27,P00353,Traditional Wear,Kurti,Burgundy,Corduroy,75.45,5.0,71.68,1,71.68
T0000190,CUST_00012,2025-04-10,P00373,Traditional Wear,Nehru Jacket,White,Corduroy,113.24,5.0,107.58,1,107.58
T0000191,CUST_00012,2025-05-28,P00136,Shorts,Running Shorts,Terracotta,Linen,41.51,0.0,41.51,1,41.51
T0000192,CUST_00012,2025-07-26,P00368,Traditional Wear,Lehenga,Heather Grey,Poly-Spandex,67.14,20.0,53.71,1,53.71
T0000193,CUST_00012,2025-08-18,P00365,Traditional Wear,Lehenga,Burgundy,Cashmere Blend,87.01,10.0,78.31,1,78.31
T0000194,CUST_00012,2025-08-26,P00373,Traditional Wear,Nehru Jacket,White,Corduroy,113.24,0.0,113.24,2,226.48
T0000195,CUST_00012,2025-09-29,P00349,Traditional Wear,Kurta,White,Poly-Spandex,55.2,0.0,55.2,1,55.2
T0000196,CUST_00012,2026-03-11,P00358,Traditional Wear,Salwar Suit,Heather Grey,Cashmere Blend,93.81,0.0,93.81,1,93.81
T0000197,CUST_00012,2026-03-16,P00363,Traditional Wear,Sherwani,Burgundy,Linen,118.31,15.0,100.56,1,100.56
T0000198,CUST_00012,2026-06-25,P00356,Traditional Wear,Kurti,Heather Grey,Linen,100.61,5.0,95.58,1,95.58
T0000199,CUST_00012,2026-07-14,P00368,Traditional Wear,Lehenga,Heather Grey,Poly-Spandex,67.14,0.0,67.14,1,67.14
T0000200,CUST_00012,2026-07-15,P00372,Traditional Wear,Dhoti,Charcoal,Corduroy,132.55,15.0,112.67,2,225.34
T0000201,CUST_00012,2026-08-04,P00372,Traditional Wear,Dhoti,Charcoal,Corduroy,132.55,0.0,132.55,1,132.55
